15:47:08 root:144 - <module>() INFO || -------------------------------------------------------------
16:04:36 settingsmanager:187 - _build_entries() INFO || 7. Unpacking: querypanel-colors_preferred = #f5010a-#eae402-#408080-#800080-#0ad2f5-#804040-#299904-#fedf05
16:04:36 settingsmanager:187 - _build_entries() INFO || 8. Unpacking: querypanel-setdates_gap = 10
16:04:36 settingsmanager:187 - _build_entries() INFO || 9. Unpacking: querypanel-setdates_from_date = 20180605
16:04:36 settingsmanager:187 - _build_entries() INFO || 10. Unpacking: productviewer-automatic export location = exports\product_customer_lists
16:04:36 dbmanager:26 - __init__() INFO || appwidget-dbmanager Init.
16:04:36 DefaultEngine-DBManager:30 - __init__() INFO || DefaultEngine-DBManager Init.
16:04:36 DefaultEngine-DBManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:04:36 dbmanager:105 - _load_offline_dbs() DEBUG || Cannot find popup widget to .destroy()
16:04:39 __main__:106 - propagate_db_var_change() DEBUG || Tried to send new db to productviewer, but it does not exist yet.
16:04:39 __main__:110 - propagate_db_var_change() DEBUG || Tried to send new db to productviewer, but it does not exist yet.
16:04:39 dbmanager:114 - _load_offline_dbs() INFO || Loaded DBs.
16:04:39 productviewer:26 - __init__() INFO || appwidget-productviewer Init.
16:04:39 DefaultEngine-ProductViewer:30 - __init__() INFO || DefaultEngine-ProductViewer Init.
16:04:39 DefaultEngine-ProductViewer:273 - __init__() DEBUG || Post-Super Init for ProductViewer Engine
16:04:39 DefaultEngine-ProductViewer:40 - set_build_config() INFO || Passed Check Req Headers.
16:04:39 analysispage:26 - __init__() INFO || appwidget-analysispage Init.
16:04:39 DefaultEngine-AnalysisPage:30 - __init__() INFO || DefaultEngine-AnalysisPage Init.
16:04:39 DefaultEngine-AnalysisPage:40 - set_build_config() INFO || Passed Check Req Headers.
16:04:39 matplotlib.legend:1384 - _parse_legend_args() WARNING || No handles with labels found to put in legend.
16:04:39 querypanel:26 - __init__() INFO || appwidget-querypanel Init.
16:04:39 DefaultEngine-QueryPanel:30 - __init__() INFO || DefaultEngine-QueryPanel Init.
16:04:39 DefaultEngine-QueryPanel:40 - set_build_config() INFO || Passed Check Req Headers.
16:04:39 DefaultEngine-QueryPanel:40 - set_build_config() INFO || Passed Check Req Headers.
16:04:39 querypanel:268 - _update_queries() INFO || .update_queries called for category Orders
16:04:39 datatable:26 - __init__() INFO || appwidget-datatable Init.
16:04:39 DefaultEngine-DataTable:30 - __init__() INFO || DefaultEngine-DataTable Init.
16:04:39 datatable:53 - __init__() DEBUG || datatable not in config. Check config2 file.
16:04:39 datatable:39 - __init__() INFO || DataTable.py init
16:04:39 multigrapher:26 - __init__() INFO || appwidget-multigrapher Init.
16:04:39 DefaultEngine-MultiGrapher:30 - __init__() INFO || DefaultEngine-MultiGrapher Init.
16:04:39 DefaultEngine-MultiGrapher:40 - set_build_config() INFO || Passed Check Req Headers.
16:04:39 multigrapher:411 - build_tree_frame() INFO || Building Tree Frame
16:05:23 root:144 - <module>() INFO || -------------------------------------------------------------
16:05:23 root:145 - <module>() INFO || DEBUGLOG @ 180912-1605
16:05:23 root:146 - <module>() INFO || VERSION: v0.2.10.1 - 2018/09/07
16:05:23 root:147 - <module>() INFO || AUTHOR:Justin H Kim
16:05:23 root:148 - <module>() INFO || -------------------------------------------------------------
16:05:23 root:149 - <module>() INFO || datainsightsapp module initialized...
16:05:23 root:151 - <module>() INFO || Collected config2.backend_settings
16:05:23 root:38 - __init__() INFO || DataInsightsApp init started.
16:05:23 __main__:40 - __init__() INFO || Super init completed.
16:05:23 __main__:42 - __init__() INFO || Account id = admin
16:05:23 settingsmanager:26 - __init__() INFO || appwidget-settingsmanager Init.
16:05:23 DefaultEngine-SettingsManager:30 - __init__() INFO || DefaultEngine-SettingsManager Init.
16:05:23 DefaultEngine-SettingsManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:05:23 DefaultEngine-SettingsManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:05:23 settingsmanager:145 - _build_settings() INFO || Building settings.
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-loaddb_on_load = True
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-loaddb_loc = databases\DH_DBS.pickle
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-automatic db export = True
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-automatic export location = exports\databases
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-automatic search export = True
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-automatic export location = exports\search_results
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-setdates_on_load = True
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-colors_preferred = #f5010a-#eae402-#408080-#800080-#0ad2f5-#804040-#299904-#fedf05
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-setdates_gap = 10
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-setdates_from_date = 20180605
16:05:23 settingsmanager:150 - _build_settings() INFO || Building settings: productviewer-automatic export location = exports\product_customer_lists
16:05:23 settingsmanager:174 - _build_entries() INFO || Building entries
16:05:23 settingsmanager:187 - _build_entries() INFO || 0. Unpacking: dbmanager-loaddb_on_load = True
16:05:23 settingsmanager:187 - _build_entries() INFO || 1. Unpacking: dbmanager-loaddb_loc = databases\DH_DBS.pickle
16:05:23 settingsmanager:187 - _build_entries() INFO || 2. Unpacking: dbmanager-automatic db export = True
16:05:23 settingsmanager:187 - _build_entries() INFO || 3. Unpacking: dbmanager-automatic export location = exports\databases
16:05:23 settingsmanager:187 - _build_entries() INFO || 4. Unpacking: analysispage-automatic search export = True
16:05:23 settingsmanager:187 - _build_entries() INFO || 5. Unpacking: analysispage-automatic export location = exports\search_results
16:05:23 settingsmanager:187 - _build_entries() INFO || 6. Unpacking: analysispage-setdates_on_load = True
16:05:23 settingsmanager:187 - _build_entries() INFO || 7. Unpacking: querypanel-colors_preferred = #f5010a-#eae402-#408080-#800080-#0ad2f5-#804040-#299904-#fedf05
16:05:23 settingsmanager:187 - _build_entries() INFO || 8. Unpacking: querypanel-setdates_gap = 10
16:05:23 settingsmanager:187 - _build_entries() INFO || 9. Unpacking: querypanel-setdates_from_date = 20180605
16:05:23 settingsmanager:187 - _build_entries() INFO || 10. Unpacking: productviewer-automatic export location = exports\product_customer_lists
16:05:23 dbmanager:26 - __init__() INFO || appwidget-dbmanager Init.
16:05:23 DefaultEngine-DBManager:30 - __init__() INFO || DefaultEngine-DBManager Init.
16:05:23 DefaultEngine-DBManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:05:23 dbmanager:105 - _load_offline_dbs() DEBUG || Cannot find popup widget to .destroy()
16:05:26 __main__:106 - propagate_db_var_change() DEBUG || Tried to send new db to productviewer, but it does not exist yet.
16:05:26 __main__:110 - propagate_db_var_change() DEBUG || Tried to send new db to productviewer, but it does not exist yet.
16:05:26 dbmanager:114 - _load_offline_dbs() INFO || Loaded DBs.
16:05:26 productviewer:26 - __init__() INFO || appwidget-productviewer Init.
16:05:26 DefaultEngine-ProductViewer:30 - __init__() INFO || DefaultEngine-ProductViewer Init.
16:05:26 DefaultEngine-ProductViewer:273 - __init__() DEBUG || Post-Super Init for ProductViewer Engine
16:05:26 DefaultEngine-ProductViewer:40 - set_build_config() INFO || Passed Check Req Headers.
16:05:26 analysispage:26 - __init__() INFO || appwidget-analysispage Init.
16:05:26 DefaultEngine-AnalysisPage:30 - __init__() INFO || DefaultEngine-AnalysisPage Init.
16:05:26 DefaultEngine-AnalysisPage:40 - set_build_config() INFO || Passed Check Req Headers.
16:05:26 matplotlib.legend:1384 - _parse_legend_args() WARNING || No handles with labels found to put in legend.
